state,inicio,varinicio,varfim,PT_V,id,VIR,inteiro,real,literal,leia,escreva,Lit,Num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,repita,fimrepita,fim,EOF
0,s.1,,,,,,,,,,,,,,,,,,,,,,,,
1,,s.3,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,s.16,,s.9,
3,,,s.19,,,,s.21,s.22,s.23,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,acc
5,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,s.16,,s.9,
6,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,s.16,,s.9,
7,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,s.16,,s.9,
8,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,s.16,,s.9,
9,,,,,,,,,,,,,,,,,,,,,,,,,r.37
10,,,,,s.28,,,,,,,,,,,,,,,,,,,,
11,,,,,s.32,,,,,,,s.30,s.31,,,,,,,,,,,,
12,,,,,,,,,,,,,,s.33,,,,,,,,,,,
13,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,s.38,,,,
14,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,,s.43,,
15,,,,,,,,,,,,,,,,,s.44,,,,,,,,
16,,,,,,,,,,,,,,,,,s.45,,,,,,,,
17,,,,,r.1,,,,,r.1,r.1,,,,,r.1,,,,,,r.1,,r.1,
18,,,s.19,,,,s.21,s.22,s.23,,,,,,,,,,,,,,,,
19,,,,s.47,,,,,,,,,,,,,,,,,,,,,
20,,,,,s.49,,,,,,,,,,,,,,,,,,,,
21,,,,,r.7,,,,,,,,,,,,,,,,,,,,
22,,,,,r.8,,,,,,,,,,,,,,,,,,,,
23,,,,,r.9,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,r.10
25,,,,,,,,,,,,,,,,,,,,,,,,,r.16
26,,,,,,,,,,,,,,,,,,,,,,,,,r.22
27,,,,,,,,,,,,,,,,,,,,,,,,,r.30
28,,,,s.50,,,,,,,,,,,,,,,,,,,,,
29,,,,s.51,,,,,,,,,,,,,,,,,,,,,
30,,,,r.13,,,,,,,,,,,,,,,,,,,,,
31,,,,r.14,,,,,,,,,,,,,,,,,,,,,
32,,,,r.15,,,,,,,,,,,,,,,,,,,,,
33,,,,,s.54,,,,,,,,s.55,,,,,,,,,,,,
34,,,,,r.23,,,,,r.23,r.23,,,,,r.23,,,,,r.23,r.23,r.23,r.23,
35,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,s.38,,,,
36,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,s.38,,,,
37,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,s.38,,,,
38,,,,,r.29,,,,,r.29,r.29,,,,,r.29,,,,,r.29,r.29,r.29,r.29,
39,,,,,r.31,,,,,r.31,r.31,,,,,r.31,,,,,,r.31,,r.31,
40,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,,s.43,,
41,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,,s.43,,
42,,,,,s.12,,,,,s.10,s.11,,,,,s.15,,,,,,,s.43,,
43,,,,,r.36,,,,,r.36,r.36,,,,,r.36,,,,,,r.36,,r.36,
44,,,,,s.54,,,,,,,,s.55,,,,,,,,,,,,
45,,,,,s.54,,,,,,,,s.55,,,,,,,,,,,,
46,,,,,r.2,,,,,r.2,r.2,,,,,r.2,,,,,,r.2,,r.2,
47,,,,,r.3,,,,,r.3,r.3,,,,,r.3,,,,,,r.3,,r.3,
48,,,,s.65,,,,,,,,,,,,,,,,,,,,,
49,,,,r.6,,s.66,,,,,,,,,,,,,,,,,,,
50,,,,,r.11,,,,,r.11,r.11,,,,,r.11,,,,,r.11,r.11,r.11,r.11,
51,,,,,r.12,,,,,r.12,r.12,,,,,r.12,,,,,r.12,r.12,r.12,r.12,
52,,,,s.67,,,,,,,,,,,,,,,,,,,,,
53,,,,r.19,,,,,,,,,,,s.68,,,,,,,,,,
54,,,,r.20,,,,,,,,,,,r.20,,,r.20,,r.20,,,,,
55,,,,r.21,,,,,,,,,,,r.21,,,r.21,,r.21,,,,,
56,,,,,r.26,,,,,r.26,r.26,,,,,r.26,,,,,r.26,r.26,r.26,r.26,
57,,,,,r.27,,,,,r.27,r.27,,,,,r.27,,,,,r.27,r.27,r.27,r.27,
58,,,,,r.28,,,,,r.28,r.28,,,,,r.28,,,,,r.28,r.28,r.28,r.28,
59,,,,,r.33,,,,,r.33,r.33,,,,,r.33,,,,,,r.33,,r.33,
60,,,,,r.34,,,,,r.34,r.34,,,,,r.34,,,,,,r.34,,r.34,
61,,,,,r.35,,,,,r.35,r.35,,,,,r.35,,,,,,r.35,,r.35,
62,,,,,,,,,,,,,,,,,,s.69,,,,,,,
63,,,,,,,,,,,,,,,,,,,,s.70,,,,,
64,,,,,,,,,,,,,,,,,,s.71,,,,,,,
65,,,r.4,,,,r.4,r.4,r.4,,,,,,,,,,,,,,,,
66,,,,,s.49,,,,,,,,,,,,,,,,,,,,
67,,,,,r.17,,,,,r.17,r.17,,,,,r.17,,,,,r.17,r.17,r.17,r.17,
68,,,,,s.54,,,,,,,,s.55,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,s.74,,,,,,
70,,,,,s.54,,,,,,,,s.55,,,,,,,,,,,,
71,,,,,r.32,,,,,r.32,r.32,,,,,r.32,,,,,,,r.32,,
72,,,,r.5,,,,,,,,,,,,,,,,,,,,,
73,,,,r.18,,,,,,,,,,,,,,,,,,,,,
74,,,,,r.24,,,,,r.24,r.24,,,,,r.24,,,,,r.24,,,,
75,,,,,,,,,,,,,,,,,,r.25,,,,,,,
